English (GB)	Deutsch (DE)	Français (FR)	Italiano (IT)	Suomalainen (FI)	Nederlands (NL)	Polski (PL)	Dansk (DK)	한국어 (KO)	Svenska (SE)	日本語 (JA)	Español (ES)
This checks that your Spindle motor is working correctly, and calibrates it for YetiPilot.	Dadurch wird überprüft, ob Ihr Spindelmotor richtig funktioniert, und er wird für YetiPilot kalibriert.	Cela permet de vérifier que votre broche fonctionne correctement et de la calibrer pour la fonction YetiPilot.	In questo modo si verifica che il mandrino funzioni correttamente e lo si calibra per YetiPilot.	Tämä tarkistaa, että karamoottori toimii oikein, ja kalibroi sen YetiPilotia varten.	Dit controleert of uw spindelmotor correct werkt, en kalibreert hem voor YetiPilot.	Tym samym sprawdzi czy wrzeciono działa prawidłowo i skalibruje je pod YetiPilot.	Dette kontrollerer, at din spindelmotor fungerer korrekt, og kalibrerer den til YetiPilot.	스핀들 모터가 올바르게 작동하는지 확인하고 YetiPilot에 맞게 보정합니다.	Detta kontrollerar att din spindelmotor fungerar korrekt och kalibrerar den för YetiPilot.	これは、スピンドルモーターが正しく動作しているかどうかをチェックし、YetiPilot用にキャリブレーションを行うものです。	Esto comprueba que el motor del husillo funciona correctamente y lo calibra para YetiPilot.
If you disable this, there will not be an option to use YetiPilot during a job.	Wenn Sie diese Funktion deaktivieren, können Sie den YetiPilot während eines Auftrags nicht verwenden.	Si vous désactivez cette fonction, vous ne pourrez pas utiliser YetiPilot durant un usinage.	Se si disattiva questa funzione, non sarà possibile utilizzare YetiPilot durante un lavoro.	Jos otat tämän pois käytöstä, YetiPilotin käyttö ei ole mahdollista työn aikana.	Als u dit uitschakelt, is er geen optie om YetiPilot te gebruiken tijdens een opdracht.	Jeśli wyłączysz tę funkcję, nie będzie możliwości użycia YetiPilot podczas pracy.	Hvis du deaktiverer dette, vil der ikke være mulighed for at bruge YetiPilot under et job.	이 기능을 비활성화하면 작업 중에 YetiPilot을 사용할 수 있는 옵션이 없습니다.	Om du inaktiverar detta kommer det inte att finnas något alternativ för att använda YetiPilot under ett jobb.	これを無効にすると、ジョブ中にYetiPilotを使用するオプションがなくなります。	Si deshabilita esto, no habrá opción de usar YetiPilot durante un trabajo.
Spindle motor health check failed!	Gesundheitsprüfung des Spindelmotors fehlgeschlagen!	Le contrôle de fonctionnement de la broche a échoué !	Controllo stato motore mandrino fallito!	Karamoottorin kuntotarkastus epäonnistui!	Gezondheidscontrole spindelmotor mislukt!	Kontrola stanu wrzeciona nie powiodła się!	Spindelmotorens helbredskontrol mislykkedes!	스핀들 모터 상태 점검에 실패했습니다!	Hälsokontrollen av spindelmotorn misslyckades!	Spindle motor health check failed！	Fallo en la comprobación del estado del motor
Spindle motor load is too high.	Die Belastung des Spindelmotors ist zu hoch.	La charge sur la broche est trop élevée.	Il carico del motore del mandrino è troppo elevato.	Karamoottorin kuormitus on liian suuri.	De belasting van de spindelmotor is te hoog.	Zbyt duże obciążenie wrzeciona.	Belastningen af spindelmotoren er for høj.	스핀들 모터 부하가 너무 높습니다.	Spindelmotorns belastning är för hög.	スピンドルモーターの負荷が高すぎる。	La carga del motor del eje es demasiado alta.
Please check that your SC2 Spindle motor is clamped correctly.	Bitte überprüfen Sie, ob Ihr SC2-Spindelmotor richtig eingespannt ist.	Veuillez vérifier que votre broche SC2 est correctement fixée.	Verificare che il mandrino SC2 sia bloccato correttamente.	Tarkista, että SC2-karan moottori on kiinnitetty oikein.	Controleer of uw SC2 Spindelmotor correct is vastgeklemd.	Proszę sprawdź, czy wrzeciono SC2 jest prawidłowo zamocowane.	Kontroller, at din SC2-spindelmotor er fastspændt korrekt.	SC2 스핀들 모터가 올바르게 고정되었는지 확인하십시오.	Kontrollera att din SC2-spindelmotor är korrekt fastspänd.	SC2スピンドルモーターが正しくクランプされているか確認してください。	Por favor, compruebe que el motor del cabezal SC2 está fijado correctamente.
If you continue without resolving the issue, it will result in accelerated wear of the Spindle motor.	Wenn Sie fortfahren, ohne das Problem zu beheben, führt dies zu einem beschleunigten Verschleiß des Spindelmotors.	Si vous continuez sans résoudre ce problème, cela entraînera une usure accélérée de votre broche.	Se si continua senza risolvere il problema, l'usura del motore del mandrino sarà prematura.	Jos jatkat ilman ongelman ratkaisua, se johtaa karamoottorin ennenaikaiseen kulumiseen.	Als u doorgaat zonder het probleem op te lossen, zal dit leiden tot versnelde slijtage van de spindelmotor.	Jeśli będziesz kontynuować bez rozwiązania problemu, spowoduje to przyspieszone zużycie wrzeciona.	Hvis du fortsætter uden at løse problemet, vil det resultere i hurtigt slid på spindelmotoren.	문제를 해결하지 않고 계속하면 스핀들 모터의 마모가 가속화됩니다.	Om du fortsätter utan att lösa problemet kommer det att leda till snabbare slitage av spindelmotorn.	このまま問題を解決しないでいると、スピンドルモーターの摩耗が早まります。	Si continúa sin resolver el problema, se producirá un desgaste acelerado del motor del rotor.
2 flute downcut spiral	2-Schneiden Linksdrall Spirale	Fraise hélicoïdale négative 2 dents	Spirale a 2 eliche con tagliente negativo	2-leikkuinen alaspäin leikkaava spiraali	2 spiraalvormige downcut spiraal	Frez spiralny 2-piórowy typu negatyw	2 skær negativ spiral sletfræser	2 플루트 다운컷 나선형	Spiral med 2 flöjter och nedskärning	2フルートダウンカットスパイラル	Espiral descendente de 2 canales
2 flute compression spiral	2-schneidige Kompressionsspirale	Fraise hélicoïdale 2 dents à compression	Spirale a 2 eliche a compressione	2-leikkuinen kompressio spiraali	2 spiraalvormige compressie spiraal	Frez spiralny 2-piórowy typu pozytyw-negatyw	2 skær kompressionsspiral sletfræser	2 플루트 압축 나선형	Kompressionsspiral med 2 flöjter	2フルートコンプレッションスパイラル	Espiral de compresión de 2 canales
Birch Plywood	Birkensperrholz	Contreplaqué de bouleau	Compensato di betulla	Koivuvaneri	Berkentriplex	Sklejka brzozowa	Birkekrydsfiner	자작나무 합판	Björkplywood	バーチ合板（Birch Plywood	Contrachapado de abedul
The Spindle motor MUST be clamped securely BEFORE plugging in the Spindle motor cables.	Der Spindelmotor MUSS fest eingespannt sein, BEVOR Sie die Kabel des Spindelmotors einstecken.	La broche DOIT être solidement fixée AVANT de brancher ses câbles.	Il mandrino DEVE essere bloccato saldamente PRIMA di collegare i cavi.	Karamoottori ON KIINNITETTÄVÄ tukevasti ENNEN kuin kytket karamoottorin kaapelit.	De spindelmotor MOET goed worden vastgeklemd VOORDAT de kabels van de spindelmotor worden aangesloten.	Wrzeciono MUSI być pewnie zamocowane PRZED podłączeniem przewodu zasilającego i sygnałowego.	Spindelmotoren SKAL fastspændes forsvarligt, FØR du tilslutter spindelmotorkablerne.	스핀들 모터 케이블을 연결하기 전에 스핀들 모터를 단단히 고정해야 합니다.	Spindelmotorn MÅSTE klämmas fast ordentligt INNAN du kopplar in spindelmotorkablarna.	スピンドルモータケーブルを差し込む前に、スピンドルモータをしっかりとクランプしなければなりません。	El motor del eje DEBE estar firmemente sujeto ANTES de conectar los cables del motor del eje.
If you start any job with the Spindle motor health check enabled, your tool MUST be rated up to 24,000 RPM.	Wenn Sie einen Auftrag mit aktivierter Spindelmotor-Zustandsprüfung beginnen, MUSS Ihr Werkzeug auf bis zu 24.000 U/min ausgelegt sein.	Si vous commencez un usinage avec le contrôle de l’état de la broche activé, votre outil DOIT se déclencher pour atteindre 24 000 tr/min.	Se si inizia un lavoro con il controllo di stato del mandrino attivato, l'utensile DEVE garantire una velocità di rotazione massima consentita di 24.000 giri/min.	Jos aloitat minkä tahansa työn, jossa karamoottorin kunnon tarkistus on käytössä, työkalun PITÄÄ olla mitoitettu 24 000 RPM:ään.	Als u een opdracht start met de gezondheidscontrole van de spindelmotor ingeschakeld, MOET uw gereedschap een toerental van 24.000 RPM hebben.	W przypadku rozpoczęcia pracy z włączoną funkcją kontroli stanu wrzeciona, narzędzie MUSI być ustawione na 24 000 obr/min.	Hvis du starter et arbejde med spindelmotorens kontrol af maskine. aktiveret, SKAL dit værktøj konstrureret til 24.000 omdrejninger pr. minut.	스핀들 모터 상태 확인을 활성화한 상태에서 작업을 시작하는 경우, 공구의 정격 회전수는 최대 24,000RPM이어야 합니다.	Om du påbörjar ett arbete med hälsokontrollen av spindelmotorn aktiverad MÅSTE ditt verktyg ha ett nominellt varvtal på upp till 24 000 RPM.	スピンドルモーターのヘルスチェックを有効にして仕事を始める場合、工具は24,000 RPMまで定格されていなければなりません。	Si inicia cualquier trabajo con la comprobación de estado del motor del rotor activada, su herramienta DEBE tener una velocidad nominal de hasta 24.000 RPM.
F	V	F	A	F	F	F	F	F	F	F	F
S	D	S	G	S	S	S	H	S	S	S	S
SmartBench will lift the spindle motor and attempt to turn it on.	SmartBench hebt den Spindelmotor an und versucht, ihn einzuschalten.	Votre SmartBench va mettre la broche en position haute et tenter de la mettre en marche.	SmartBench solleva il motore del mandrino e tenta di accenderlo.	SmartBench nostaa karamoottorin ja yrittää käynnistää sen.	SmartBench zal de spindelmotor optillen en proberen aan te zetten.	SmartBench podniesie wrzeciono i spróbuje je uruchomić.	SmartBench vil løfte spindelmotoren og forsøge at tænde den.	SmartBench가 스핀들 모터를 들어 올리고 전원을 켜려고 시도합니다.	SmartBench lyfter upp frässpindeln och försöker slå på den.	SmartBenchはスピンドルモーターを持ち上げ、電源を入れようとします。	SmartBench levantará el motor del husillo e intentará encenderlo.
The spindle motor may spin at high speeds.	Der Spindelmotor kann sich mit hoher Geschwindigkeit drehen.	La broche peut tourner à grande vitesse.	Il motore del mandrino può girare ad alta velocità.	Karamoottori saattaa pyöriä suurella nopeudella.	De spindelmotor kan met hoge snelheden draaien.	Wrzeciono może obracać się z dużą prędkością.	Spindelmotoren kan rotere med høje hastigheder.	스핀들 모터가 고속으로 회전할 수 있습니다.	"Frässpindeln kan rotera i höga hastigheter.
"	スピンドルモーターは高速で回転する可能性があります。	El motor del cabezal puede girar a altas velocidades.
Ensure both the power cable and data cable for the spindle motor are securely connected.	Vergewissern Sie sich, dass sowohl das Netzkabel als auch das Datenkabel für den Spindelmotor sicher angeschlossen ist.	Assurez-vous que le câble d'alimentation et le câble de données de la broche soient bien connectés.	Assicurarsi che il cavo di alimentazione e il cavo dati del motore del mandrino siano collegati saldamente.	Varmista, että sekä karamoottorin virtajohto että datakaapeli on kytketty tukevasti.	Zorg ervoor dat zowel de voedingskabel als de datakabel voor de spindelmotor goed zijn aangesloten.	Upewnij się, czy zarówno przewód zasilający, jak i przewód sygnałowy są prawidłowo podłączone.	Sørg for, at både strømkablet og datakablet til spindelmotoren er forsvarligt tilsluttet.	스핀들 모터의 전원 케이블과 데이터 케이블이 모두 단단히 연결되어 있는지 확인하십시오.	Se till att både strömkabeln och datakabeln till fräsmotorn är ordentligt anslutna.	スピンドルモーターの電源ケーブルとデータケーブルの両方がしっかりと接続されていることを確認してください。	Asegúrese de que tanto el cable de alimentación como el cable de datos del motor del cabezal están bien conectados.
Do not proceed until the spindle motor is clamped safely in the Z Head, and the dust shoe plug is fitted.	Fahren Sie erst fort, wenn der Spindelmotor sicher im Z-Kopf eingespannt und der Staubschutz geschlossen ist.	Ne pas poursuivre la procédure tant que la broche n'est pas correctement attelée à la tourelle Z et que le sabot anti-poussière n'est pas à sa place.	Non procedere finché il motore del mandrino non è bloccato in modo sicuro nella testa Z e non è stato inserito il tappo antipolvere.	Älä jatka ennen kuin karamoottori on kiinnitetty turvallisesti Z-päähän ja pölysuojuksen pistoke on asennettu.	Ga niet verder voordat de spindelmotor veilig in de Z-kop is vastgeklemd en de stekker van de stofschoen is aangebracht.	Nie należy kontynuować, dopóki wrzeciono nie zostanie bezpiecznie zamocowane w głowicy Z i nie zostanie założona osłona narzędzia.	Fortsæt ikke, før spindelmotoren er fastspændt sikkert i Z-hovedet, og støvskoen er monteret.	스핀들 모터가 Z 헤드에 안전하게 고정되고 더스트 슈 플러그가 장착될 때까지 계속 진행하지 마십시오.	Fortsätt inte förrän fräsmotorn är säkert fastspänd i Z-huvudet och utsugskåpan är monterad.	スピンドルモーターがZヘッドに安全にクランプされ、ダストシュープラグが装着されるまで、先に進まないでください。	No continúe hasta que el motor del rotor esté sujeto de forma segura en el cabezal Z y el tapón guardapolvo esté colocado.
